,segment_idx,excluded,n_rpeaks_noisy,n_RRI_detected,n_RRI_suprathresh,suprathresh_RRI_values,notes
176,176,False,0.0,339.0,4.0,[867.5 437.5 432.5 857.5],
177,177,False,0.0,330.0,0.0,[],
178,178,False,2.0,335.0,9.0,[ 567.5 1067.5  867.5 2157.5  335.  3222.5  497.5  297.5  800. ],
179,179,False,0.0,325.0,0.0,[],
180,180,False,0.0,326.0,0.0,[],
181,181,False,0.0,339.0,10.0,[605.  840.  337.5 502.5 807.5 257.5 542.5 775.  277.5 495. ],
182,182,False,2.0,332.0,15.0,"[ 920.  1877.5  950.   622.5 1822.5  822.5  605.  1005.   762.5 1507.5
 1517.5  762.5  877.5 1765.   885. ]",
183,183,False,4.0,347.0,4.0,[ 852.5 1650.   812.5 1452.5],
184,184,False,0.0,354.0,3.0,[472.5 375.  840. ],
185,185,False,0.0,359.0,0.0,[],
186,186,False,0.0,358.0,2.0,[540.  982.5],
187,187,False,0.0,368.0,0.0,[],
188,188,False,0.0,379.0,0.0,[],
189,189,False,5.0,393.0,10.0,[ 685.  1842.5 1332.5  800.   650.  1307.5  665.   747.5 1480.   737.5],
190,190,False,8.0,411.0,23.0,"[ 422.5  297.5  715.   447.5  267.5  720.   410.   305.   710.   487.5
  902.5  692.5 1392.5  702.5  527.5  845.   527.5  825.   670.  1350.
  685.   857.5  965. ]",
191,191,False,1.0,366.0,10.0,[ 790.   307.5  487.5  772.5 1572.5  795.   772.5 2252.5  747.5  912.5],
192,192,False,0.0,360.0,6.0,[ 597.5  265.   870.   860.  1660.   802.5],
193,193,False,6.0,373.0,6.0,[ 562.5  985.   775.  3657.5 1662.5  742.5],
194,194,False,0.0,387.0,0.0,[],
195,195,False,0.0,386.0,0.0,[],
196,196,False,2.0,385.0,3.0,[ 785. 1545.  760.],
197,197,False,2.0,382.0,3.0,[ 777.5 1577.5  790. ],
198,198,False,0.0,375.0,3.0,[775. 390. 485.],
199,199,False,1.0,369.0,5.0,[ 600.  1060.   472.5  267.5  737.5],
200,200,False,0.0,342.0,0.0,[],
201,201,False,0.0,337.0,0.0,[],
202,202,False,0.0,330.0,0.0,[],
203,203,False,1.0,340.0,4.0,[ 560.   995.   547.5 1000. ],
204,204,False,1.0,338.0,0.0,[],
205,205,False,0.0,330.0,0.0,[],
206,206,False,1.0,327.0,3.0,[ 910.  1867.5  955. ],
207,207,False,1.0,324.0,3.0,[ 927.5 1870.   925. ],
